Location,State,Lat,Long
PARC PARQUE,PR,17.96,-66.22
PASEO COSTA DEL SUR,PR,17.96,-66.22
SECT LANAUSSE,PR,17.96,-66.22
URB EUGENE RICE,PR,17.96,-66.22
URB GONZALEZ,PR,17.96,-66.22
URB LA FABRICA,PR,17.96,-66.22
URB MONTE SORIA 2,PR,17.96,-66.22
VILLAS DEL COQUI,PR,17.96,-66.22
AIBONITO,PR,18.14,-66.26
BDA SAN LUIS,PR,18.14,-66.26
BO LLANOS,PR,18.14,-66.26
BRISAS DE AIBONITO,PR,18.14,-66.26
COLINAS DE SAN FRANCISCO,PR,18.14,-66.26
EST DEL LLANO,PR,18.14,-66.26
EXT BELLA VISTA,PR,18.14,-66.26
EXT SAN LUIS,PR,18.14,-66.26
EXT VILLA ROSALES,PR,18.14,-66.26
REPTO ROBLES,PR,18.14,-66.26
URB BELLA VISTA,PR,18.14,-66.26
URB BUENA VISTA,PR,18.14,-66.26
URB GOLDEN VLG IV,PR,18.14,-66.26
URB LA PROVIDENCIA,PR,18.14,-66.26
VILLA DE LA ROSA,PR,18.14,-66.26
VILLA ROSALES,PR,18.14,-66.26
ANASCO,PR,18.28,-67.14
BRISAS DE ANASCO,PR,18.28,-67.14
EST DE VALLE VERDE,PR,18.28,-67.14
JARD DE ANASCO,PR,18.28,-67.14
PASEO DEL VALLE,PR,18.28,-67.14
REPTO DAGUEY,PR,18.28,-67.14
URB SAN ANTONIO,PR,18.28,-67.14
ANGELES,PR,18.28,-66.79
ARECIBO,PR,18.45,-66.73
ALT DE JUNCOS,PR,18.45,-66.73
ALT DE SAN FELIPE,PR,18.45,-66.73
BDA DUHAMEL,PR,18.45,-66.73
BO EL PASAJE,PR,18.45,-66.73
BO ISLOTE,PR,18.45,-66.73
BO ISLOTE II,PR,18.45,-66.73
BO JAREALITOS,PR,18.45,-66.73
BO OBRERO,PR,18.45,-66.73
BO SANTANA,PR,18.45,-66.73
COMUNIDAD BUENOS AIRES,PR,18.45,-66.73
EST DE ARECIBO,PR,18.45,-66.73
EST DE BALSEIRO,PR,18.45,-66.73
EXT MARISOL,PR,18.45,-66.73
EXT TANAMA,PR,18.45,-66.73
EXT VILLA LOS SANTOS I,PR,18.45,-66.73
EXT VILLA LOS SANTOS II,PR,18.45,-66.73
HACIENDA TOLEDO,PR,18.45,-66.73
JARD DE ARECIBO,PR,18.45,-66.73
JARD DE SAN RAFAEL,PR,18.45,-66.73
PARC MATTEY,PR,18.45,-66.73
PARC NAVAS,PR,18.45,-66.73
PARC PEREZ,PR,18.45,-66.73
ADJUNTAS,PR,18.16,-66.72
COLINAS DEL GIGANTE,PR,18.16,-66.72
JARD DE ADJUNTAS,PR,18.16,-66.72
URB SAN JOAQUIN,PR,18.16,-66.72
CASTANER,PR,18.19,-66.82
AGUADA,PR,18.38,-67.18
ALTS DE AGUADA,PR,18.38,-67.18
BO GUANIQUILLA,PR,18.38,-67.18
COMUNIDAD LAS FLORES,PR,18.38,-67.18
EXT LOS ROBLES,PR,18.38,-67.18
URB ISABEL LA CATOLICA,PR,18.38,-67.18
AGUADILLA,PR,18.43,-67.15
RAMEY,PR,18.43,-67.15
BDA CABAN,PR,18.43,-67.15
BDA ESTEVES,PR,18.43,-67.15
BO BORINQUEN,PR,18.43,-67.15
BO CEIBA BAJA,PR,18.43,-67.15
EXT EL PRADO,PR,18.43,-67.15
EXT MARBELLA,PR,18.43,-67.15
REPTO JIMENEZ,PR,18.43,-67.15
REPTO JUAN AGUIAR,PR,18.43,-67.15
REPTO LOPEZ,PR,18.43,-67.15
REPTO TRES PALMAS,PR,18.43,-67.15
SECT LAS VILLAS,PR,18.43,-67.15
URB BORINQUEN,PR,18.43,-67.15
URB EL PRADO,PR,18.43,-67.15
URB ESTEVES,PR,18.43,-67.15
URB GARCIA,PR,18.43,-67.15
URB LAS AMERICAS,PR,18.43,-67.15
URB LAS CASITAS COUNTRY CLUB,PR,18.43,-67.15
URB MALEZA GDNS,PR,18.43,-67.15
URB MARBELLA,PR,18.43,-67.15
URB RAMEY,PR,18.43,-67.15
URB RUBIANES,PR,18.43,-67.15
URB SAN CARLOS,PR,18.43,-67.15
URB SANTA MARTA,PR,18.43,-67.15
URB VICTORIA,PR,18.43,-67.15
VILLA ALEGRIA,PR,18.43,-67.15
VILLA LINDA,PR,18.43,-67.15
VILLA LYDIA,PR,18.43,-67.15
VILLA UNIVERSITARIA,PR,18.43,-67.15
VILLAS DE ALMERIA,PR,18.43,-67.15
VISTA ALEGRE,PR,18.43,-67.15
VISTA VERDE,PR,18.43,-67.15
AGUAS BUENAS,PR,18.25,-66.1
EST DEL RIO,PR,18.25,-66.1
MANS DE AGUAS BUENAS,PR,18.25,-66.1
AGUIRRE,PR,17.96,-66.22
EST DE TRINITARIA,PR,17.96,-66.22
EXT EL COQUI,PR,17.96,-66.22
PARC CABASA,PR,17.96,-66.22
MONITOR,NJ,40.78,-74
TAURUS,NJ,40.78,-74
WESTWOOD,NJ,40.98,-74.03
OLD TAPPAN,NJ,40.98,-74.03
RIVER VALE,NJ,40.98,-74.03
RIVERVALE,NJ,40.98,-74.03
WOODCLIFF LAKE,NJ,41.02,-74.05
WOODCLIFF LK,NJ,41.02,-74.05
WHARTON,NJ,40.89,-74.58
WHIPPANY,NJ,40.82,-74.41
WHITEHOUSE,NJ,40.62,-74.76
WHITEHOUSE STATION,NJ,40.6,-74.76
WHITE HSE STA,NJ,40.6,-74.76
WHITE HOUSE STATION,NJ,40.6,-74.76
WOODBRIDGE,NJ,40.55,-74.28
WYCKOFF,NJ,40.99,-74.16
BRONX,NY,40.84,-73.87
HIGHBRIDGE,NY,40.84,-73.87
STADIUM,NY,40.84,-73.87
UNIVERSITY HEIGHTS,NY,40.84,-73.87
MOTT HAVEN,NY,40.84,-73.87
HUB,NY,40.84,-73.87
MORRISANIA,NY,40.84,-73.87
BOULEVARD,NY,40.84,-73.87
LONGWOOD,NY,40.84,-73.87
CROTONA PARK,NY,40.84,-73.87
WEST FARMS,NY,40.84,-73.87
MORRIS PARK,NY,40.84,-73.87
PILGRIM,NY,40.84,-73.87
WESTCHESTER,NY,40.84,-73.87
RIVERDALE,NY,40.84,-73.87
SPUYTEN DUYVIL,NY,40.84,-73.87
THROGGS NECK,NY,40.84,-73.87
WAKEFIELD,NY,40.84,-73.87
ALLERTON,NY,40.84,-73.87
MOSHOLU,NY,40.84,-73.87
VAN COTT,NY,40.84,-73.87
WILLIAMSBRIDGE,NY,40.84,-73.87
JEROME,NY,40.84,-73.87
BAYCHESTER,NY,40.84,-73.87
ESPLANADE,NY,40.84,-73.87
HILLSIDE,NY,40.84,-73.87
PRIORITY MAIL CTR,NY,40.84,-73.87
NEW YORK,NY,40.71,-73.99
EMPIRE STATE,NY,40.71,-73.99
G P O,NY,40.71,-73.99
GREELEY SQUARE,NY,40.71,-73.99
MACYS FINANCE,NY,40.71,-73.99
MANHATTAN,NY,40.71,-73.99
KNICKERBOCKER,NY,40.71,-73.99
NEW YORK CITY,NY,40.71,-73.99
NY,NY,40.71,-73.99
NY CITY,NY,40.71,-73.99
NYC,NY,40.71,-73.99
COOPER,NY,40.71,-73.99
BOWLING GREEN,NY,40.71,-73.99
WALL STREET,NY,40.71,-73.99
TRINITY,NY,40.71,-73.99
CHURCH STREET,NY,40.71,-73.99
PETER STUYVESANT,NY,40.71,-73.99
MADISON SQUARE STA,NY,40.71,-73.99
PRINCE,NY,40.71,-73.99
CANAL STREET,NY,40.71,-73.99
CHINATOWN,NY,40.71,-73.99
GRAND CENTRAL,NY,40.71,-73.99
FRANKLIN D ROOSEVELT,NY,40.71,-73.99
PLANETARIUM,NY,40.71,-73.99
MORNINGSIDE,NY,40.71,-73.99
MANHATTANVILLE,NY,40.71,-73.99
COLLEGE,NY,40.71,-73.99
HAMILTON GRANGE,NY,40.71,-73.99
WASHINGTON BRIDGE,NY,40.71,-73.99
PARC RODRIGUEZ OLMO,PR,18.45,-66.73
PARQ DE JARDINES,PR,18.45,-66.73
PASEOS REALES,PR,18.45,-66.73
REPTO MARQUEZ,PR,18.45,-66.73
REPTO SAN JOSE,PR,18.45,-66.73
REPTO SAN JUAN,PR,18.45,-66.73
SECT ABRA,PR,18.45,-66.73
SECT EL CANO,PR,18.45,-66.73
SECT LAS ANIMAS,PR,18.45,-66.73
SECT MUELLE,PR,18.45,-66.73
URB ARECIBO GDNS,PR,18.45,-66.73
URB COLLEGE PARK IV,PR,18.45,-66.73
URB COSTAS DEL ATLANTICO,PR,18.45,-66.73
URB EL PARAISO,PR,18.45,-66.73
URB FACTOR,PR,18.45,-66.73
URB GARDEN VIEW,PR,18.45,-66.73
URB LA MUCURA,PR,18.45,-66.73
URB LAS BRISAS,PR,18.45,-66.73
URB LOS LLANOS,PR,18.45,-66.73
URB LOS PINOS,PR,18.45,-66.73
URB LOS PINOS II,PR,18.45,-66.73
URB MARISOL,PR,18.45,-66.73
URB MARTELL,PR,18.45,-66.73
URB OCEAN VW,PR,18.45,-66.73
URB RADIOVILLE,PR,18.45,-66.73
URB REGIONAL,PR,18.45,-66.73
URB SAN DANIEL,PR,18.45,-66.73
URB SAN FELIPE,PR,18.45,-66.73
URB SAN LORENZO,PR,18.45,-66.73
URB TANAMA,PR,18.45,-66.73
URB UNIVERSITY GDNS,PR,18.45,-66.73
URB VICTOR ROJAS 1,PR,18.45,-66.73
URB VICTOR ROJAS 2,PR,18.45,-66.73
URB VILLAMAR,PR,18.45,-66.73
URB ZENO GANDIA,PR,18.45,-66.73
VALLE ESCONDIDO,PR,18.45,-66.73
VILLA LOS SANTOS,PR,18.45,-66.73
VILLA LUCIA,PR,18.45,-66.73
VILLA SERENA,PR,18.45,-66.73
VILLA TOLEDO,PR,18.45,-66.73
VILLAS DEL CAPITAN,PR,18.45,-66.73
VILLAS DEL SOL,PR,18.45,-66.73
VISTA AZUL,PR,18.45,-66.73
VISTA DEL ATLANTICO,PR,18.45,-66.73
ARROYO,PR,17.97,-66.06
EXT JARD DE ARROYO,PR,17.97,-66.06
JARD DE ARROYO,PR,17.97,-66.06
JARD DE LAFAYETTE,PR,17.97,-66.06
PARQ DE GUASIMAS,PR,17.97,-66.06
QTAS DE GUASIMA,PR,17.97,-66.06
REPTO BELLO MAR,PR,17.97,-66.06
URB ARROYO DEL MAR,PR,17.97,-66.06
URB BELINDA,PR,17.97,-66.06
URB LAS 500,PR,17.97,-66.06
URB MIRAMAR 1,PR,17.97,-66.06
URB PALMAR 2,PR,17.97,-66.06
VILLAS DE LAFAYETTE,PR,17.97,-66.06
BAJADERO,PR,18.4,-66.66
BRISAS DEL VALLE,PR,18.4,-66.66
BARCELONETA,PR,18.45,-66.53
BDA CATALANA,PR,18.45,-66.53
BRISAS DE LLANADAS,PR,18.45,-66.53
BRISAS DEL MONTE,PR,18.45,-66.53
EST DE BARCELONETA,PR,18.45,-66.53
EST DE FLORIDA,PR,18.45,-66.53
EXT EST DE IMBERY,PR,18.45,-66.53
EXT PARC PUNTA PALMAS,PR,18.45,-66.53
PARC GARROCHALES,PR,18.45,-66.53
PARC IMBERY,PR,18.45,-66.53
PARC MAGUEYES,PR,18.45,-66.53
PARC PALENQUE,PR,18.45,-66.53
PARC PUNTA PALMAS,PR,18.45,-66.53
PARC TIBURON,PR,18.45,-66.53
REPTO LAS LLANADAS,PR,18.45,-66.53
URB CATALUNA,PR,18.45,-66.53
URB CIMARRONA CT,PR,18.45,-66.53
URB LAS DELICIAS,PR,18.45,-66.53
URB LAS PRADERAS,PR,18.45,-66.53
URB ORTEGA,PR,18.45,-66.53
URB PLAZUELA ESTATES,PR,18.45,-66.53
URB SOL NACIENTE,PR,18.45,-66.53
VILLA BARCELONA,PR,18.45,-66.53
VILLA CENTRAL,PR,18.45,-66.53
VILLA GEORGETTI,PR,18.45,-66.53
VILLAS DE LA SABANA,PR,18.45,-66.53
BARRANQUITAS,PR,18.18,-66.3
BDA ALEMANIA,PR,18.18,-66.3
URB SAN CRISTOBAL,PR,18.18,-66.3
VISTAS DE MONTECIELO,PR,18.18,-66.3
BOQUERON,PR,17.99,-67.15
VILLA TAINA,PR,17.99,-67.15
CABO ROJO,PR,18.08,-67.14
ALTS DE JOYUDA,PR,18.08,-67.14
ALTS DEL MAR,PR,18.08,-67.14
BO BALLAJA,PR,18.08,-67.14
BO MONTE GRANDE,PR,18.08,-67.14
EST DE MIRAMAR,PR,18.08,-67.14
EST REALES,PR,18.08,-67.14
EXT ELIZABETH,PR,18.08,-67.14
EXT LA CONCEPCION,PR,18.08,-67.14
EXT PARC ELIZABETH,PR,18.08,-67.14
EXT SIERRA LINDA,PR,18.08,-67.14
HACIENDAS DE BELVEDERE,PR,18.08,-67.14
HACIENDAS DE CABO ROJO,PR,18.08,-67.14
HACIENDAS DE MIRAMAR,PR,18.08,-67.14
JARD DEL PUERTO,PR,18.08,-67.14
MANS DE CABO ROJO,PR,18.08,-67.14
MANSIONES,PR,18.08,-67.14
PARC BETANCES,PR,18.08,-67.14
PARC ELIZABETH,PR,18.08,-67.14
PARC LAS MARGARITAS,PR,18.08,-67.14
PARC LAS 35,PR,18.08,-67.14
PARC PUERTO REAL,PR,18.08,-67.14
QTAS DE CABO ROJO,PR,18.08,-67.14
REPTO MIRADERO,PR,18.08,-67.14
REPTO OLIVERAS,PR,18.08,-67.14
URB ALTA VISTA,PR,18.08,-67.14
URB ANA MARIA,PR,18.08,-67.14
URB EL RETIRO,PR,18.08,-67.14
URB ELIZABETH,PR,18.08,-67.14
URB KOFRESI,PR,18.08,-67.14
URB LA CONCEPCION,PR,18.08,-67.14
URB MONTE GRANDE,PR,18.08,-67.14
URB MONTESOL,PR,18.08,-67.14
URB RAMIREZ,PR,18.08,-67.14
URB REMANSO DE CABO ROJO,PR,18.08,-67.14
URB SAN MIGUEL,PR,18.08,-67.14
URB SIERRA LINDA,PR,18.08,-67.14
VILLA AIDA,PR,18.08,-67.14
VILLA DEL CARMEN,PR,18.08,-67.14
VILLA LUISA,PR,18.08,-67.14
VILLAS DE PLAN BONITO,PR,18.08,-67.14
CAGUAS,PR,18.23,-66.03
ALT DE CAGUAS,PR,18.23,-66.03
ALT DEL TURABO,PR,18.23,-66.03
BDA MORALES,PR,18.23,-66.03
BOSQUES DE LA SIERRA,PR,18.23,-66.03
BRISAS DEL PARQUE I,PR,18.23,-66.03
BRISAS DEL PARQUE II,PR,18.23,-66.03
EST EL VERDE,PR,18.23,-66.03
EXT CAGUAX,PR,18.23,-66.03
EXT EL VERDE,PR,18.23,-66.03
EXT LA GRANJA,PR,18.23,-66.03
EXT VILLA BLANCA,PR,18.23,-66.03
HACIENDA BORINQUEN,PR,18.23,-66.03
JARD PLA,PR,18.23,-66.03
LOMAS DE LA SERRANIA,PR,18.23,-66.03
PARQ LAS MERCEDES,PR,18.23,-66.03
PASEO DEL RIO,PR,18.23,-66.03
QTAS DE SAN LUIS 1,PR,18.23,-66.03
QTAS DE SAN LUIS 2,PR,18.23,-66.03
QTAS DE VILLA BLANCA,PR,18.23,-66.03
REPTO CAGUAX,PR,18.23,-66.03
REPTO SOLANO,PR,18.23,-66.03
RES BAIROA,PR,18.23,-66.03
